"DATE","NYSE ADV.","NYSE DEC.","NYSE UP VOL (x 1000)","NYSE DN VOL (x 1000)","DJIA CLOSE","NYSE A-D","10% TREND A-D","5% TREND A-D","McC A-D OSC","McC A-D SUMMATION INDEX","A-D FOR OSC UNCH'D TOMORROW","A-D FOR OSC TO 0 TOMORROW","NYSE UV-DV (x 1000)","10% TREND UV-DV","5% TREND UV-DV","McC UV-DV OSC","McC VOL SUMMATION INDEX","UV-DV FOR OSC UNCH'D TOMORROW","UV-DV FOR OSC TO 0 TOMORROW","10% TREND","5% TREND","PRICE OSCILLATOR","PRICE FOR UNCHANGED OSCILLATOR"
28-Sep-12,1188,1843,793354,2510335,13437.13,-655,56.91,146.29,-89.39,3267.39,-32,1755,-1716981,-117631,90341,-207972,2775159,-325603,3833839,13418.30,13287.15,131.15,13549.45
1-Oct-12,1884,1174,2127922,1238668,13515.11,710,122.22,174.48,-52.26,3215.13,70,1115,889254,-16943,130287,-147229,2627929,-164172,2780413,13427.98,13298.54,129.44,13557.41
2-Oct-12,1601,1402,1499229,1708157,13482.36,199,129.89,175.70,-45.81,3169.32,84,1000,-208928,-36141,113326,-149467,2478462,-185608,2803733,13433.42,13307.73,125.68,13559.10
3-Oct-12,1512,1513,1878396,1561441,13494.61,-1,116.80,166.87,-50.06,3119.25,67,1068,316955,-832,123507,-124339,2354123,-125170,2361607,13439.54,13317.08,122.46,13561.99
4-Oct-12,2211,828,2873904,692561,13575.36,1383,243.42,227.67,15.75,3135.00,259,-56,2181343,217386,226399,-9013,2345110,208373,388637,13453.12,13329.99,123.13,13576.25
5-Oct-12,1715,1292,1542838,1550994,13610.15,423,261.38,237.44,23.94,3158.94,285,-193,-8156,194832,214671,-19840,2325270,174992,571785,13468.82,13344.00,124.82,13593.64
8-Oct-12,1172,1813,818190,1439783,13583.65,-641,171.14,193.52,-22.38,3136.57,149,596,-621593,113189,172858,-59669,2265602,53520,1246899,13480.30,13355.98,124.32,13604.63
9-Oct-12,703,2358,839227,2298040,13473.53,-1655,-11.47,101.09,-112.56,3024.00,-124,2127,-1458813,-44011,91275,-135286,2130316,-179297,2526415,13479.63,13361.86,117.77,13597.39
10-Oct-12,1151,1883,876841,2169411,13344.97,-732,-83.52,59.44,-142.96,2881.04,-226,2633,-1292570,-168867,22082,-190949,1939367,-359816,3459169,13466.16,13361.02,105.15,13571.31
11-Oct-12,2000,1032,2618043,1008358,13326.39,968,21.63,104.87,-83.24,2797.80,-62,1603,1609685,8988,101463,-92474,1846893,-83486,1765998,13452.18,13359.28,92.90,13545.08
